seed,strategy,test_windows,test_groups,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1
7,majority_vote_3,95,41,0.6,0.5949147272114006,0.5937093080538431,0.7164179104477613,0.5937499999999999,0.4745762711864407
13,majority_vote_3,96,41,0.7291666666666666,0.7135781614948282,0.7291666666666666,0.8918918918918919,0.65625,0.5925925925925926
21,majority_vote_3,75,41,0.6533333333333333,0.6758547008547008,0.6570683760683761,0.7692307692307692,0.6333333333333333,0.625
42,majority_vote_3,73,41,0.7123287671232876,0.7367003367003365,0.7142026922848841,0.8571428571428571,0.6545454545454545,0.6984126984126984
84,majority_vote_3,92,41,0.6304347826086957,0.6311697092630156,0.6320332480818415,0.6551724137931034,0.6176470588235294,0.6206896551724138
126,majority_vote_3,78,41,0.7948717948717948,0.8057533863985477,0.7958707958707959,0.8571428571428571,0.7419354838709677,0.8181818181818182
168,majority_vote_3,98,41,0.7346938775510204,0.7192841880341879,0.7400248560962847,0.8974358974358975,0.5937499999999999,0.6666666666666665
210,majority_vote_3,79,41,0.569620253164557,0.5643557239601785,0.5713974314655512,0.5294117647058824,0.5671641791044777,0.5964912280701754
336,majority_vote_3,74,41,0.6486486486486487,0.6477696078431373,0.6479898648648649,0.6470588235294118,0.64,0.65625
512,majority_vote_3,97,41,0.8247422680412371,0.8134877027734171,0.8189172020909871,0.875,0.8307692307692308,0.7346938775510204
7,majority_vote_5,95,41,0.6105263157894737,0.6043483306693676,0.6030440841219032,0.7352941176470589,0.603174603174603,0.4745762711864407
13,majority_vote_5,96,41,0.7291666666666666,0.7135781614948282,0.7291666666666666,0.8918918918918919,0.65625,0.5925925925925926
21,majority_vote_5,75,41,0.6533333333333333,0.6758547008547008,0.6570683760683761,0.7692307692307692,0.6333333333333333,0.625
42,majority_vote_5,73,41,0.7123287671232876,0.7367003367003365,0.7142026922848841,0.8571428571428571,0.6545454545454545,0.6984126984126984
84,majority_vote_5,92,41,0.6304347826086957,0.6311697092630156,0.6320332480818415,0.6551724137931034,0.6176470588235294,0.6206896551724138
126,majority_vote_5,78,41,0.7948717948717948,0.8057533863985477,0.7958707958707959,0.8571428571428571,0.7419354838709677,0.8181818181818182
168,majority_vote_5,98,41,0.7346938775510204,0.7192841880341879,0.7400248560962847,0.8974358974358975,0.5937499999999999,0.6666666666666665
210,majority_vote_5,79,41,0.569620253164557,0.5643557239601785,0.5713974314655512,0.5294117647058824,0.5671641791044777,0.5964912280701754
336,majority_vote_5,74,41,0.6486486486486487,0.6477696078431373,0.6479898648648649,0.6470588235294118,0.64,0.65625
512,majority_vote_5,97,41,0.8247422680412371,0.8134877027734171,0.8189172020909871,0.875,0.8307692307692308,0.7346938775510204
7,raw_window_prediction,95,41,0.5894736842105263,0.5853871175905075,0.5842613051533658,0.696969696969697,0.5846153846153848,0.4745762711864407
13,raw_window_prediction,96,41,0.7291666666666666,0.7135781614948282,0.7291666666666666,0.8918918918918919,0.65625,0.5925925925925926
21,raw_window_prediction,75,41,0.6533333333333333,0.6758547008547008,0.6570683760683761,0.7692307692307692,0.6333333333333333,0.625
42,raw_window_prediction,73,41,0.7123287671232876,0.7367003367003365,0.7142026922848841,0.8571428571428571,0.6545454545454545,0.6984126984126984
84,raw_window_prediction,92,41,0.6195652173913043,0.6194815396700707,0.620379794391885,0.631578947368421,0.626865671641791,0.6000000000000001
126,raw_window_prediction,78,41,0.7948717948717948,0.8057533863985477,0.7958707958707959,0.8571428571428571,0.7419354838709677,0.8181818181818182
168,raw_window_prediction,98,41,0.7346938775510204,0.7192841880341879,0.7400248560962847,0.8974358974358975,0.5937499999999999,0.6666666666666665
210,raw_window_prediction,79,41,0.569620253164557,0.5643557239601785,0.5713974314655512,0.5294117647058824,0.5671641791044777,0.5964912280701754
336,raw_window_prediction,74,41,0.6486486486486487,0.6477696078431373,0.6479898648648649,0.6470588235294118,0.64,0.65625
512,raw_window_prediction,97,41,0.8247422680412371,0.8134877027734171,0.8189172020909871,0.875,0.8307692307692308,0.7346938775510204
7,state_machine_confirm_2,95,41,0.5684210526315789,0.5643949250506628,0.564241204103154,0.7272727272727273,0.5396825396825397,0.4262295081967213
13,state_machine_confirm_2,96,41,0.6666666666666666,0.647832422586521,0.6662352003642987,0.8533333333333334,0.5901639344262296,0.5
21,state_machine_confirm_2,75,41,0.68,0.687246525990736,0.6811144278606965,0.7200000000000001,0.6551724137931034,0.6865671641791045
42,state_machine_confirm_2,73,41,0.7123287671232876,0.7339366515837105,0.7095807764623236,0.8666666666666667,0.6274509803921569,0.7076923076923077
84,state_machine_confirm_2,92,41,0.6304347826086957,0.6299832539870415,0.630320995108853,0.631578947368421,0.6376811594202899,0.6206896551724138
126,state_machine_confirm_2,78,41,0.8205128205128205,0.8305407155577141,0.8178462908307492,0.896551724137931,0.75,0.8450704225352113
168,state_machine_confirm_2,98,41,0.7653061224489796,0.7495429796737122,0.7686417406318647,0.9113924050632911,0.6229508196721312,0.7142857142857142
210,state_machine_confirm_2,79,41,0.5063291139240507,0.5009937099186592,0.5069725680042264,0.47058823529411764,0.5151515151515151,0.5172413793103449
336,state_machine_confirm_2,74,41,0.6351351351351351,0.6375547646734088,0.6355356025534679,0.6486486486486486,0.6538461538461539,0.6101694915254238
512,state_machine_confirm_2,97,41,0.8247422680412371,0.8090219463713441,0.8146560625507341,0.8674698795180723,0.8484848484848486,0.7111111111111111
7,state_machine_confirm_3,95,41,0.5789473684210527,0.5729668916747027,0.572242805664112,0.7352941176470589,0.5573770491803278,0.4262295081967213
13,state_machine_confirm_3,96,41,0.6666666666666666,0.647832422586521,0.6662352003642987,0.8533333333333334,0.5901639344262296,0.5
21,state_machine_confirm_3,75,41,0.68,0.687246525990736,0.6811144278606965,0.7200000000000001,0.6551724137931034,0.6865671641791045
42,state_machine_confirm_3,73,41,0.7123287671232876,0.7339366515837105,0.7095807764623236,0.8666666666666667,0.6274509803921569,0.7076923076923077
84,state_machine_confirm_3,92,41,0.6413043478260869,0.640973630831643,0.6419437340153453,0.6551724137931034,0.6470588235294118,0.6206896551724138
126,state_machine_confirm_3,78,41,0.8333333333333334,0.8404330662951353,0.8296410167099822,0.896551724137931,0.7636363636363636,0.8611111111111112
168,state_machine_confirm_3,98,41,0.7755102040816326,0.7605226145532606,0.77851319075265,0.9113924050632911,0.6333333333333334,0.7368421052631577
210,state_machine_confirm_3,79,41,0.5189873417721519,0.5120126799089909,0.5202623871326625,0.47058823529411764,0.5230769230769231,0.5423728813559322
336,state_machine_confirm_3,74,41,0.6351351351351351,0.6375547646734088,0.6355356025534679,0.6486486486486486,0.6538461538461539,0.6101694915254238
512,state_machine_confirm_3,97,41,0.8247422680412371,0.8090219463713441,0.8146560625507341,0.8674698795180723,0.8484848484848486,0.7111111111111111
