classifier,family,top_k,n_estimators,max_depth,seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,roc_auc_ovr_macro_min,roc_auc_ovr_macro_max,roc_auc_ovr_weighted_mean,roc_auc_ovr_weighted_std,roc_auc_ovr_weighted_min,roc_auc_ovr_weighted_max,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_min,average_precision_macro_max,average_precision_weighted_mean,average_precision_weighted_std,average_precision_weighted_min,average_precision_weighted_max,fit_time_ms_mean,fit_time_ms_std,fit_time_ms_min,fit_time_ms_max,prediction_time_ms_mean,prediction_time_ms_std,prediction_time_ms_min,prediction_time_ms_max,actual_tree_count_mean,actual_tree_count_std,actual_tree_count_min,actual_tree_count_max,actual_node_count_mean,actual_node_count_std,actual_node_count_min,actual_node_count_max,used_feature_count_mean,used_feature_count_std,used_feature_count_min,used_feature_count_max,mean_comparisons_per_prediction_mean,mean_comparisons_per_prediction_std,mean_comparisons_per_prediction_min,mean_comparisons_per_prediction_max
xgboost_top231,xgboost,231,20,3,10,0.6932429550137695,0.07898199791883743,0.5569620253164557,0.8061224489795918,0.6912363931037973,0.08423611358240488,0.534677402831561,0.7949020626848311,0.692797709439818,0.07911154394137022,0.5586675287550836,0.8085281107505922,0.845181776175776,0.05797841901758287,0.7593286082154264,0.9361689503387561,0.8382325913284218,0.06357188467873555,0.7481775826169419,0.9410870259433822,0.7495750771136872,0.08559542378960408,0.6221369424081797,0.8841269311874113,0.7528681405438498,0.08253410877632844,0.6366274852243141,0.8944536338994103,651.2294299996938,93.99086077837012,538.5979999991832,808.8632999988477,4.98297999965871,0.8724375115117688,3.6089999994146638,6.362699999954202,60.0,0.0,60.0,60.0,846.0,18.17690842800282,818.0,886.0,98.8,6.660330322138685,84.0,110.0,177.60338823932543,1.8217215398157343,172.73684210526315,179.14583333333334
gradient_boosting_top231,gradient_boosting,231,20,3,10,0.6876444511002376,0.08108051016023393,0.569620253164557,0.8247422680412371,0.6881652465319912,0.08117604254757414,0.5643557239601784,0.8134877027734171,0.6879278984953661,0.08084007414302534,0.571397431465551,0.8189172020909871,0.8484175432960452,0.05401982996251343,0.7693948299215974,0.9433895814285792,0.8410735633662114,0.062221297384671394,0.7507120520351063,0.9458156458459673,0.7561747638994303,0.0718264811781415,0.6592053743376122,0.9021398030818074,0.7578356455361097,0.07169034010133292,0.6670957527491475,0.9063546718619407,1320.3324999998586,152.29596053839157,1117.1008000001166,1523.2673000009527,5.339429999730783,1.5393509552096847,3.612700000303448,8.120599999529077,60.0,0.0,60.0,60.0,897.4,1.2806248474865698,896.0,900.0,129.0,7.720103626247513,113.0,139.0,179.95010323645815,0.05148419651454144,179.84782608695653,180.0
gradient_boosting_top126,gradient_boosting,126,20,3,10,0.6852637445342307,0.06776367682520622,0.5869565217391305,0.8061224489795918,0.6830865737595244,0.06660980374450849,0.5849288365510427,0.7877622613506038,0.6851145140847672,0.06692899390181625,0.5861380172687028,0.8048358384033637,0.858415466429974,0.04839069933084845,0.7943049064359977,0.9449661473784916,0.8531786783078561,0.05533004250164969,0.7817254583851675,0.9504475189090413,0.78029080317965,0.06741614569457215,0.6724512073773327,0.8912648302837701,0.7807309402928928,0.06799055754064089,0.6856649805443549,0.9029824568336812,750.723740000285,89.38300324088762,633.4929000004195,864.9284000002808,4.2114799996852526,1.2897859331611712,2.8984000000491505,7.460799999535084,60.0,0.0,60.0,60.0,895.6,3.666060555964672,890.0,900.0,93.6,5.76541412215983,78.0,99.0,179.96528882074938,0.044644503452260564,179.85333333333332,180.0
gradient_boosting_top160,gradient_boosting,160,20,3,10,0.6888569827618243,0.08433309726547931,0.5894736842105263,0.8367346938775511,0.6829960942263559,0.08250617362712379,0.5841712823194745,0.8172474609256218,0.687143922368955,0.08494268409206795,0.5852578530739809,0.8325979543432042,0.8562990608035463,0.05285969123875345,0.7928699209799074,0.9436605676753459,0.849788284303376,0.06138603312837617,0.7780967984644256,0.948911732180557,0.7686571602735732,0.0738710746671659,0.6701066530401184,0.8896714723573895,0.7701431307503854,0.07560355837516967,0.6799195985442827,0.90054419518461,963.9512300002025,139.96874788135253,793.573799999649,1157.2101999990991,4.177920000074664,1.0620158184883906,3.210800001397729,7.001099998888094,60.0,0.0,60.0,60.0,895.2,3.3704599092705436,890.0,900.0,107.8,3.4292856398964493,103.0,115.0,179.94332279997587,0.04969377203478317,179.84782608695653,180.0
xgboost_top160,xgboost,160,20,3,10,0.6818747403664811,0.06765468781357854,0.5822784810126582,0.7835051546391752,0.6749878893238622,0.07099611133642693,0.5599669148056244,0.7737651906326605,0.6799367332312756,0.06840629090505024,0.581210541194208,0.7782797006744344,0.8470257082933914,0.0484577333449062,0.7626010901577134,0.9278237731874358,0.8411269858747427,0.05377824695606408,0.7506962880313269,0.9326938657236293,0.7504531741134293,0.07419119818054254,0.61659126602194,0.8692145313491239,0.7548940247699771,0.07023101207095372,0.635332066873763,0.8792222506270804,462.33741999949416,87.91366912043532,365.89789999925415,632.4059999988094,3.9652100002058432,0.7209060527663109,3.1975000001693843,5.31810000029509,60.0,0.0,60.0,60.0,853.8,21.862296311229525,812.0,890.0,86.2,5.963220606350229,75.0,95.0,178.18364493427126,1.992797338115163,172.55789473684212,179.7835051546392
xgboost_top126,xgboost,126,20,3,10,0.6726029098334559,0.06999065127637549,0.569620253164557,0.7731958762886598,0.6688267541157964,0.07106958900201617,0.5469810813048518,0.7667998667998668,0.6736888967747616,0.07048722831936059,0.571247531865658,0.7718101784180048,0.8494617293779069,0.05047470815321141,0.7610256134406788,0.9191666896643715,0.8439924590953258,0.055625635108546026,0.7505252886682997,0.9249806326471476,0.7536198370916363,0.07534293021434045,0.6032232293085661,0.851025930788499,0.7590517404788548,0.06939800849031827,0.6293295395924862,0.8585036261126365,374.766930000078,65.86524174664379,298.6178999999538,498.23040000046603,3.839999999945576,0.9063807033860622,2.918800000770716,5.991899999571615,60.0,0.0,60.0,60.0,846.6,16.347476869535555,826.0,878.0,75.7,7.733692520394123,64.0,91.0,178.09078349644682,1.180332761739194,175.29473684210527,179.33333333333334
xgboost_top100,xgboost,100,20,3,10,0.6603061261472558,0.06288392171715151,0.5569620253164557,0.7525773195876289,0.6566164107451737,0.06735654300367885,0.5360207295691167,0.7505990839324173,0.6613713049351126,0.06425096683949345,0.5578093246529343,0.7528550105869694,0.8399386437258056,0.04891236131932305,0.7616137929281375,0.9138254727178228,0.8349358227444557,0.05436027656099462,0.7461265972409253,0.9194769040621174,0.7399898947913573,0.06725735637861224,0.6229165625052077,0.8429386794321819,0.7453503137568575,0.06321999790218237,0.639298533036465,0.854752117876138,297.2760000002381,41.12093363997415,242.55009999978938,368.56729999999516,3.7462599999344093,1.0524413979211393,2.6066000009450363,5.687400000169873,60.0,0.0,60.0,60.0,843.4,14.887578715157142,818.0,860.0,66.7,5.550675634551167,58.0,74.0,177.96494497759528,1.5302088173028554,174.2421052631579,179.83333333333334
gradient_boosting_top100,gradient_boosting,100,20,3,10,0.6591550748901319,0.07799601801084417,0.5316455696202531,0.782051282051282,0.6551839815902579,0.08220919192748889,0.5299428104575163,0.8043249395362072,0.657870399129959,0.07924838504440715,0.5308513278729213,0.7795156330367597,0.8445067643563587,0.04940203699102092,0.7706104538208177,0.9268276850970273,0.8393613203616366,0.05633914461836779,0.7548948567666586,0.9325117239013831,0.7579546383660208,0.06571076354263493,0.641866118958232,0.866206522305989,0.7578993388884249,0.06727727407585073,0.6517505521622063,0.8779283740771859,605.5075000002034,67.77164252944098,517.2112000000197,697.7449000005436,3.6912899997332715,0.6136203769830274,2.8794999998353887,4.857500000071013,60.0,0.0,60.0,60.0,894.4,4.454211490264018,886.0,900.0,82.7,3.7161808352124095,74.0,86.0,179.9570787880779,0.050860187600059316,179.82666666666665,180.0
gradient_boosting_top70,gradient_boosting,70,20,3,10,0.6465820996727796,0.07785175387071046,0.5217391304347826,0.7604166666666666,0.6433733523087907,0.07778499211470292,0.5226863226863226,0.7423807035876001,0.644669682058062,0.07867885839209933,0.5236246127550475,0.753611865942029,0.8292584504473818,0.04637033886382865,0.7629411115778396,0.8949487266170836,0.8252988620324627,0.04980995811634811,0.7551964593258219,0.9022928548856751,0.7386362232289199,0.059564177524352134,0.6646047301831461,0.8220486010282997,0.7406895841506751,0.060757904748729774,0.6754373325518186,0.8331731986935897,456.6566600000442,34.94955125770958,393.5990000009042,500.7215999994514,3.2403200002590893,0.32053286497284583,2.6883000009547686,3.6266000006435206,60.0,0.0,60.0,60.0,897.4,2.6907248094147422,892.0,900.0,63.4,2.7640549922170505,58.0,67.0,179.95222235052262,0.0677087348710809,179.77333333333334,180.0
gradient_boosting_top50,gradient_boosting,50,20,3,10,0.6421920956893837,0.05486778330052397,0.5569620253164557,0.7216494845360825,0.642568670278885,0.058572997548894196,0.5548146831041568,0.7201587301587301,0.6419178775410822,0.05499991201035262,0.5576083661943089,0.7210063819342171,0.8183348568748501,0.0377786788077339,0.7684949141709608,0.8760734178728962,0.8149732230562788,0.039191581928558136,0.7596497078048384,0.877151254590506,0.7159719509888349,0.05659881860517018,0.6285889156552869,0.7978268562310201,0.7202829556823458,0.053206533874821896,0.637033821836944,0.7985887333395884,342.0247800006109,32.983184534251386,287.1245000005729,393.17320000009204,3.0641700002888683,0.5182268806335779,2.423200001430814,4.065999999511405,60.0,0.0,60.0,60.0,897.0,3.492849839314596,888.0,900.0,48.3,1.4177446878757824,45.0,50.0,179.97136838104302,0.03789966791087961,179.86666666666667,180.0
xgboost_top70,xgboost,70,20,3,10,0.6518473414125672,0.06474504184116427,0.5578947368421052,0.7307692307692307,0.6422990186488823,0.0677492215035247,0.5376344086021505,0.7355865491571832,0.6510406845629187,0.06421299125969332,0.564159089400677,0.7311569067537238,0.8317337984961712,0.04377367857836178,0.7607752717331442,0.8920123796645094,0.8283745760232438,0.04473434343847646,0.7636518944591931,0.8917684315105352,0.7268363224230419,0.06413061816109235,0.622821517501902,0.8148721044279519,0.7344529855319164,0.05876263847744308,0.6482776654085538,0.8223656628615474,205.0314400001298,23.57771885095424,168.50090000116325,241.69049999909475,2.9298100000232807,0.6433318685677585,2.1062000014353544,4.360200000519399,60.0,0.0,60.0,60.0,846.0,22.838563877792318,794.0,870.0,53.6,3.97994974842648,47.0,60.0,178.05121508279223,2.1787654588374137,171.73684210526315,179.41836734693877
xgboost_top50,xgboost,50,20,3,10,0.6389497314417155,0.060418647994454115,0.5263157894736842,0.717948717948718,0.6333698100573116,0.06256320380874034,0.5240829346092504,0.7155993431855502,0.6383817548242522,0.057370810030107765,0.5358001063264222,0.7158519641278261,0.8239891744683941,0.05288147446658425,0.7169576583397793,0.8951898878975063,0.8208117204521804,0.05147776763513531,0.71632060670574,0.8866656107562079,0.7210750007449164,0.08162360098011687,0.5569828962219665,0.8221696837144729,0.7247718738189555,0.07556837896602397,0.5873879570451258,0.8211328791586374,152.22090000024764,18.65949918779422,127.16400000135764,188.20380000033765,2.4713500004509115,0.2864349602287996,2.0273000009183306,2.8321000008872943,60.0,0.0,60.0,60.0,843.6,19.179155351578963,798.0,868.0,44.1,1.972308292331602,40.0,47.0,177.8624378594089,1.798625420292979,174.26315789473685,179.4795918367347
gradient_boosting_top30,gradient_boosting,30,20,3,10,0.5871716557107546,0.08907682928412776,0.4105263157894737,0.717948717948718,0.5745668176452087,0.09933895265447619,0.4099508297128203,0.7162715178024092,0.5853080890630767,0.08809404734383046,0.4125141559271421,0.717539613657711,0.7584121177184973,0.08390346314894688,0.6159273261117688,0.8455016014641958,0.7598020700020403,0.07708432686985268,0.6248288602355475,0.8386656811502385,0.6458653657286398,0.0966861191170634,0.4872170419972586,0.7366809515717496,0.6568289846636202,0.08181497612535829,0.5177628786079417,0.7351486543953043,234.7132499999134,23.414774501767138,203.2880999995541,267.1974999993836,2.840420000029553,0.504783725961923,2.355399999942165,3.994000000602682,60.0,0.0,60.0,60.0,895.4,3.352610922848042,890.0,900.0,29.9,0.3,29.0,30.0,179.9402202040458,0.08236263823959779,179.78666666666666,180.0
xgboost_top30,xgboost,30,20,3,10,0.5755210536065534,0.1145634518670473,0.3157894736842105,0.7692307692307693,0.5577143481299666,0.12766333475583264,0.30171432051399166,0.7796556704796375,0.5703643069897758,0.11753908654357591,0.3039548446341944,0.7682991306835378,0.7629664428132187,0.08759550810099508,0.601014995097635,0.8649193548387096,0.7645056926838005,0.08002023702565154,0.6087758900950174,0.8548387096774193,0.6509094165201798,0.11085766191635232,0.4654537955380597,0.7737342143524873,0.660263375729804,0.0954722772477003,0.4756952189782197,0.7633434897720229,125.10741999994934,88.80644280011781,82.738099999915,390.0090999995882,2.2545000003447058,0.4817507886885514,1.7026000004989328,3.572000001440756,60.0,0.0,60.0,60.0,833.6,25.873538606073968,794.0,890.0,29.1,1.044030650891055,27.0,30.0,177.0476908217887,2.1972029675699796,172.43243243243242,179.6304347826087
